,Date,NOAA No,Location,Lo,Area,Zpc,LL,NN,Mag,N_Bflare,N_Cflare,N_Mflare,N_Xflare
0,2017-04-23,2651,N12E17,71.0,140.0,Cao,5.0,7.0,Beta,3.0,0.0,0.0,0.0
1,2017-04-23,2653,S09E57,31.0,100.0,Hax,4.0,2.0,Alpha,1.0,0.0,0.0,0.0
0,2017-04-24,2651,N12E04,70.0,150.0,Cso,5.0,8.0,Beta,2.0,0.0,0.0,0.0
1,2017-04-24,2652,N14E17,57.0,10.0,Bxo,3.0,3.0,Beta,0.0,0.0,0.0,0.0
2,2017-04-24,2653,S09E45,29.0,100.0,Hax,4.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-25,2651,N11W09,70.0,110.0,Hax,5.0,6.0,Alpha,0.0,0.0,0.0,0.0
1,2017-04-25,2652,N13E01,60.0,10.0,Bxo,2.0,3.0,Beta,1.0,0.0,0.0,0.0
2,2017-04-25,2653,S08E34,27.0,90.0,Hax,2.0,2.0,Alpha,1.0,0.0,0.0,0.0
0,2017-04-26,2651,N11W23,71.0,80.0,Hsx,5.0,3.0,Alpha,3.0,0.0,0.0,0.0
1,2017-04-26,2652,N13W13,61.0,10.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2017-04-26,2653,S11E21,27.0,60.0,Hax,2.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-27,2651,N11W35,70.0,80.0,Hsx,5.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-04-27,2652,N14W26,61.0,10.0,Axx,1.0,3.0,Alpha,2.0,0.0,0.0,0.0
2,2017-04-27,2653,S09E08,27.0,50.0,Hsx,3.0,1.0,Alpha,2.0,0.0,0.0,0.0
0,2017-04-28,2651,N10W50,72.0,70.0,Hsx,4.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-04-28,2653,S09W06,28.0,40.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-29,2651,N12W63,71.0,60.0,Hsx,5.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-04-29,2653,S09W20,28.0,30.0,Hsx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
2,2017-04-29,2654,N10E52,316.0,10.0,Axx,1.0,2.0,Alpha,0.0,0.0,0.0,0.0
0,2017-04-30,2651,N12W76,71.0,40.0,Hsx,4.0,2.0,Alpha,0.0,0.0,0.0,0.0
1,2017-04-30,2653,S09W33,28.0,30.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
2,2017-04-30,2654,N11E38,317.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-05-01,2651,N13W90,72.0,30.0,Hsx,1.0,1.0,Alpha,2.0,0.0,0.0,0.0
1,2017-05-01,2653,S09W46,28.0,20.0,Hrx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
2,2017-05-01,2654,N11E25,317.0,10.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-05-02,2653,S08W59,27.0,20.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-05-03,2653,S08W73,27.0,10.0,Axx,0.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-05-03,2654,N11E01,314.0,60.0,Dao,5.0,4.0,Beta,1.0,0.0,0.0,0.0
0,2017-05-04,2654,N12W12,314.0,70.0,Dso,5.0,5.0,Beta,0.0,0.0,0.0,0.0
0,2017-05-05,2654,N11W25,314.0,80.0,Dso,6.0,5.0,Beta,0.0,0.0,0.0,0.0
1,2017-05-05,2655,N13E37,252.0,10.0,Bxo,3.0,4.0,Beta,0.0,0.0,0.0,0.0
0,2017-05-06,2654,N11W38,314.0,40.0,Cso,5.0,5.0,Beta,2.0,0.0,0.0,0.0
1,2017-05-06,2655,N14E25,251.0,30.0,Dro,3.0,6.0,Beta,7.0,0.0,0.0,0.0
0,2017-05-07,2654,N11W53,316.0,30.0,Hsx,1.0,1.0,Alpha,2.0,0.0,0.0,0.0
1,2017-05-07,2655,N13E11,252.0,20.0,Cro,3.0,5.0,Beta,2.0,0.0,0.0,0.0
0,2017-05-08,2654,N11W66,315.0,20.0,Hsx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-05-08,2655,N14W04,253.0,10.0,Bxo,5.0,2.0,Beta,0.0,0.0,0.0,0.0
0,2017-05-09,2654,N11W82,318.0,20.0,Axx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-05-10,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-11,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-12,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-13,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-14,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-15,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-16,None,,,,,,,,0.0,0.0,0.0,0.0
0,2017-05-17,2656,N12E62,67.0,30.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-05-17,2657,N07E21,109.0,10.0,Axx,2.0,2.0,Alpha,2.0,0.0,0.0,0.0
0,2017-05-18,2656,N11E50,66.0,30.0,Cso,2.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-05-19,2656,N12E36,68.0,20.0,Hax,2.0,1.0,Alpha,1.0,0.0,0.0,0.0
1,2017-05-19,2658,S08E38,66.0,10.0,Bxo,4.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-05-20,2656,N12E22,69.0,20.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-05-20,2658,S08E24,67.0,10.0,Bxo,4.0,3.0,Beta,0.0,0.0,0.0,0.0
0,2017-05-21,2656,N11E08,69.0,20.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-05-21,2658,S07E09,69.0,10.0,Hrx,1.0,1.0,Alpha,0.0,0.0,0.0,0.0
0,2017-05-22,2656,N11W06,70.0,20.0,Hax,2.0,1.0,Alpha,0.0,0.0,0.0,0.0
1,2017-05-22,2658,S07W05,69.0,10.0,Hrx,1.0,1.0,Alpha,1.0,0.0,0.0,0.0
